Age,State_of_Origin,Gender,NIN_Linkage_Count,Login_Frequency,Geographic_Velocity,Device_Reputation_Score,Sector_Conflict_Flag,Failed_Auth_Attempts,Access_Hour,BVN_Status,NHIA_Status,JAMB_Status,FRSC_Status,Voter_ID_Status,Age_Consistency_Score,Name_Mismatch_Flag,Sector_Access_Frequency,Anomaly_Flag
42,26,0,3,1,51.0279,0.9422,0,2,12,1,1,0,0,1,0.8629,0,13,0
65,5,0,2,4,11.1514,0.9755,0,2,20,0,1,0,1,0,0.8017,0,11,0
55,31,0,4,2,54.7204,0.6667,0,1,11,1,1,0,1,1,0.9709,0,9,0
29,17,1,4,7,843.7954,0.2104,1,4,14,1,1,0,1,1,0.1607,1,17,1
31,35,1,4,4,43.6546,0.7519,0,0,15,1,1,1,1,0,0.7534,0,8,0
59,33,0,3,1,71.2544,0.8984,0,1,13,0,1,0,1,1,0.8022,0,10,0
78,29,0,2,3,74.0498,0.9984,0,1,21,1,0,0,0,1,0.8057,0,9,0
67,36,0,3,5,33.9183,0.772,0,1,18,1,1,0,0,1,0.7847,0,15,0
67,24,0,4,1,18.6742,0.7334,0,1,9,1,1,0,1,1,0.8008,0,2,0
33,27,0,3,4,75.007,0.3304,1,0,9,1,0,1,1,0,0.3971,1,1,1
46,29,1,3,4,24.2641,0.8444,0,0,22,1,1,0,1,0,0.7525,0,12,0
22,15,1,4,1,41.7438,0.8215,0,2,13,0,1,1,1,1,0.9588,0,2,0
57,21,1,3,3,44.2051,0.553,0,2,20,1,0,0,1,1,0.8968,0,3,0
67,16,0,3,1,27.5013,0.9309,0,1,13,1,1,0,0,1,0.9653,0,6,0
35,24,0,5,3,35.3167,0.8381,0,1,21,1,1,1,1,1,0.9577,0,8,0
41,35,1,4,4,386.7399,0.0807,0,13,17,1,1,0,1,1,0.4299,1,9,1
39,22,0,4,4,75.0908,0.9246,0,0,11,1,1,0,1,1,0.9887,0,2,0
76,35,1,3,1,63.0988,0.8857,0,1,10,1,1,0,0,1,0.9822,0,8,0
28,17,0,4,5,27.5447,0.9095,0,1,6,1,1,1,0,1,0.7531,0,9,0
54,16,1,3,4,23.8271,0.7016,0,0,17,0,0,1,1,1,0.8261,0,14,0
76,3,0,3,5,43.0053,0.6668,0,1,10,1,0,0,1,1,0.957,0,1,0
