Age,State_of_Origin,Gender,NIN_Linkage_Count,Login_Frequency,Geographic_Velocity,Device_Reputation_Score,Sector_Conflict_Flag,Failed_Auth_Attempts,Access_Hour,BVN_Status,NHIA_Status,JAMB_Status,FRSC_Status,Voter_ID_Status,Age_Consistency_Score,Name_Mismatch_Flag,Sector_Access_Frequency,Anomaly_Flag
71,31,1,1,1,70.0207,0.9313,0,2,8,1,0,0,0,0,0.8837,0,9,0
75,3,0,3,4,7.2342,0.7633,0,0,10,1,0,0,1,1,0.8588,0,6,0
66,7,0,4,4,45.2597,0.6527,0,1,10,1,1,0,1,1,0.9311,0,13,0
73,25,1,2,2,69.353,0.9857,0,2,20,1,0,0,0,1,0.9645,0,14,0
31,25,1,4,5,66.0302,0.7285,0,2,22,1,1,1,0,1,0.8387,0,11,0
43,36,1,4,5,14.4317,0.5944,0,0,17,1,1,1,1,0,0.9902,0,2,0
37,2,0,3,3,4.1779,0.6716,0,2,21,1,0,1,0,1,0.981,0,8,0
39,23,0,2,5,64.0444,0.6529,0,1,19,1,0,0,0,1,0.8823,0,3,0
54,33,1,2,2,41.9185,0.9254,0,1,20,1,0,0,0,1,0.9619,0,10,0
20,25,0,4,5,1.3493,0.8718,0,1,16,1,1,1,1,0,0.9712,0,8,0
45,22,0,3,1,41.1585,0.7696,0,2,18,1,0,1,0,1,0.8747,0,11,0
44,9,0,3,5,20.3751,0.7059,0,2,12,1,0,1,1,0,0.7602,0,4,0
31,12,0,5,4,42.9329,0.7302,0,1,6,1,1,1,1,1,0.7629,0,5,0
61,36,1,3,3,39.5171,0.9217,0,2,18,1,1,0,1,0,0.9194,0,3,0
48,27,1,4,2,1.9488,0.6939,0,1,22,1,1,0,1,1,0.9977,0,6,0
21,26,1,5,1,58.7809,0.7041,0,2,12,1,1,1,1,1,0.9473,0,1,0
64,7,1,2,5,11.2795,0.6725,0,1,13,0,1,0,0,1,0.9558,0,6,0
25,1,1,4,1,48.9176,0.9597,0,1,13,1,0,1,1,1,0.8624,0,12,0
